AKT3
ALK
AR
BRAF
EGFR
ERBB2
ERBB4
ERG
ESR1
ETV1
ETV4
ETV5
EWSR1
FGFR1
FGFR2
FGFR3
FGFR4
FUS
HMGA2
MAML2
MET
MGMT
MYB
MYBL1
NCOA1
NRG1
NTRK1
NTRK2
NTRK3
PDGFRA
PIK3CA
PLAG1
PPARG
PRKCA
PRKD1
PRKD2
PRKD3
RAF1
RELA
RET
ROS1
SS18
TMPRSS2
YAP1
