ABL1
ACTB
AFAP1
AGK
AKAP12
AKAP4
AKAP9
AKT2
AKT3
ALK
ASPSCR1
ATF1
ATP1B1
ATRX
BAG4
BCL2
BCOR
BCORL1
BCR
BICC1
BRAF
BRD3
BRD4
CAMTA1
CCAR2
CCDC6
CCDC88A
CCNB3
CCND1
CD74
CIC
CLTC
CNTRL
COL1A1
CREB1
CREB3L1
CREB3L2
CRTC1
DDIT3
DNAJB1
EGFR
EML4
EPC1
ERBB2
ERBB4
ERG
ESR1
ETV1
ETV4
ETV5
ETV6
EWSR1
EZR
FEV
FGFR1
FGFR2
FGFR3
FLI1
FN1
FOXO1
FOXO4
FUS
GLI1
GOPC
GPR128
HMGA2
JAZF1
KIAA1549
KIF5B
LMNA
LPP
MAGI3
MAML1
MAML2
MAML3
MET
MGA
MGMT
MIR143
MITF
MKL2
MYB
MYC
NAB2
NCOA1
NCOA2
NCOA4
NFIB
NOTCH2
NPM1
NR4A3
NRG1
NRG2
NSD3
NTRK1
NTRK2
NTRK3
NUTM1
PAX3
PAX7
PAX8
PDGFB
PDGFRA
PDGFRB
PHF1
PIK3CA
PLAG1
PML
POU5F1
PPARGC1A
PPP1CB
PRKACA
PRKAR1A
PTPRZ1
QKI
RAF1
RANBP2
RARA
RELA
RELCH
RET
ROS1
RREB1
RSPO2
RSPO3
SDC1
SDC4
SHTN1
SLC34A2
SND1
SQSTM1
SS18
SSX1
SSX2
SSX4
STAT6
STRN
SUZ12
TACC1
TACC3
TAF15
TCF12
TERT
TFE3
TFG
THADA
TMPRSS2
TPM3
TPR
TRIM24
TRIM33
TRIO
VGLL2
WT1
WWTR1
YAP1
YWHAE
ZMYM2
ZNF703
ZFTA
